,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Categorical,Discrete,Discrete,Discrete,Discrete,Discrete,Continuous,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction,Infraction Group,Infraction Group,Infraction Group,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Vol,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Solvabilité,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte,Contexte
516,Résolu - Total,Déterminé - Infractions multiples,N,Privé,Habitation individuelle,Aucun,Aucune,Emotion,Aucun,Membre famille,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,2,2,5,1,426,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
515,Résolu - Partiel,Déterminé - Date précise ,N,Public,Train,Autre,Arme blanche / contondante,Emotion,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Autre administration,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Après-midi (12-17h00),1,1,6,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
514,Résolu - Total,Déterminé – Infraction continue,N,Autre,0,Aucun,Aucune,Rationalité,Aucun,Connaissance,UT,Sans objet,Autre administration,Aucun,0,Réactif - Auto-résolution (CILA),2,Non déterminé - inconnu,1,1,1,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
513,Résolu - Total,Déterminé - Date précise ,N,Public,,Piéton,Pieds / mains,Emotion,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Témoin direct (voisin),Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé – Nuit 2 (02-07h00),1,1,9,1,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
512,Résolu - Total,Déterminé - Date précise ,N,Public,Voie publique,VHL volé,Aucune,Rationalité,Un trafic de stupéfiants,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),2,Déterminé - Soir (17-22h00),1,1,9,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
511,Résolu - Total,Déterminé - Date précise ,N,Privé,Habitation individuelle,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Compétence lieu de domicile Auteur,Victime appel,Patrouilleur + technicien spécialisé,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte fin de journée,2,2,8,1,518,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
510,Résolu - Total,Déterminé - Date précise ,N,Public,Parking,"VHL tiers (appartenant à un tiers dont location, ...)",Aucune,Rationalité,Un trafic de stupéfiants,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),2,Déterminé - Soir (17-22h00),1,1,13,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
501,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Inconnu,Aucune,Rationalité,Aucun,Non,UT,Sans objet,Victime appel,Aucun,0,Réactif – Investigation (CILA),1,Déterminé - Après-midi (12-17h00),1,1,2,1,211,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
491,Résolu - Total,Déterminé - Infractions multiples,N,Public,Cabinet d'assurance,Aucun,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,1,1,245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
481,Résolu - Total,Déterminé - Infractions multiples,N,Autre,Téléphone,Aucun,Aucune,Emotion,Aucun,Membre famille,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,1,1,1,1,25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
471,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Privé,Habitation individuelle,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Non déterminé - Découverte fin de journée,1,1,2,1,276,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
461,Non résolu - Mise en cause insuffisamment caractérisée,Déterminé - Date précise ,O,Public,Voie publique,VHL proprio (l'auteur est le propriétaire),Aucune,Opportunité,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,1,Réactif - Flagrant-délit (LCIA),1,Déterminé - Matin (07-12h00),1,1,4,1,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
451,Non résolu - Infraction non constituée,Déterminé - Date précise ,N,Privé,Habitation individuelle,Aucun,Pieds / mains,Emotion,Aucun,Membre famille,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif - Auto-résolution (CILA),1,Déterminé - Après-midi (12-17h00),1,1,1,1,38,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
441,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Infractions multiples,N,Autre,Téléphone,Aucun,Aucune,Emotion,Aucun,Connaissance,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Non déterminé - inconnu,2,2,2,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
431,Résolu - Partiel,Déterminé - Date précise ,O,Public,Voie publique,Piéton,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé – Nuit 2 (02-07h00),1,1,3,1,76,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
421,Non résolu - Infraction non constituée,Déterminé - Date précise ,N,Privé,Habitation individuelle,Aucun,Arme blanche / contondante,Emotion,Aucun,Membre famille,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif - Auto-résolution (CILA),1,Déterminé - Soir (17-22h00),1,1,1,1,53,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
419,Résolu - Total,Déterminé - Infractions multiples,N,Public,Etablissement scolaire,Aucun,Aucune,Emotion,Aucun,Connaissance,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),2,Non déterminé - inconnu,1,1,2,2,78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
418,Résolu - Total,Déterminé - Date précise ,N,Public,Hôtel,Aucun,Arme blanche / contondante,Emotion,Consommation d'alcool ou de drogue,Connaissance,UT,Sans objet,Victime appel,Patrouilleur,0,Pro-actif - Initiative (ICLA),1,Déterminé - Après-midi (12-17h00),1,1,7,1,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
417,Résolu - Total,Déterminé - Date précise ,N,Public,Voie publique,VHL proprio (l'auteur est le propriétaire),Arme à feu,Négligence / Imprudence,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé – Nuit 2 (02-07h00),1,1,2,1,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
416,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Date précise ,N,Privé,Habitation collective,Aucun,Aucune,Inconnu,Aucun,Membre famille,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Soir (17-22h00),2,2,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
415,Orienté - Enquête débouchant hors du territoire de compétence,Déterminé - Date précise ,N,Privé,Habitation individuelle,Aucun,Aucune,Rationalité,Aucun,Connaissance,UT,Compétence lieu de domicile Auteur,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Après-midi (12-17h00),2,2,2,1,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
414,Résolu - Total,Déterminé - Date précise ,N,Public,Voie publique,VHL proprio (l'auteur est le propriétaire),Aucune,Négligence / Imprudence,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,1,Réactif - Flagrant-délit (LCIA),1,Déterminé - Nuit 1 (22-02h00),1,1,4,1,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
413,Résolu - Partiel,Déterminé - Date précise ,N,Public,Voie publique,Aucun,Pieds / mains,Emotion,Aucun,Membre famille,UT,Sans objet,Victime plainte guichet,Aucun,0,Réactif - Auto-résolution (CILA),1,Déterminé - Matin (07-12h00),1,1,1,1,185,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
412,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Public,Voie publique,Aucun,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,1,Réactif - Flagrant-délit (LCIA),1,Déterminé - Nuit 1 (22-02h00),1,1,1,1,59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
411,Non résolu - Auteur non identifié,Non déterminé - Découverte suite à période d'absence,N,Privé,Habitation individuelle,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Non déterminé - inconnu,1,1,1,1,18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
410,Non résolu - Auteur non identifié,Déterminé - Date précise ,N,Privé,Hangar,Inconnu,Aucune,Inconnu,Aucun,Non,UT,Sans objet,Victime appel,Patrouilleur,0,Réactif – Investigation (CILA),1,Déterminé – Nuit 2 (02-07h00),1,1,2,1,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
401,Résolu - Total,Déterminé - Date précise ,N,Public,Voie publique,VHL proprio (l'auteur est le propriétaire),Aucune,Négligence / Imprudence,Consommation d'alcool ou de drogue,Non,UT,Sans objet,Unité en patrouille,Patrouilleur,0,Réactif - Flagrant-délit (LCIA),1,Déterminé - Nuit 1 (22-02h00),1,1,1,1,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
